State,year,pop
Alabama,2001-01-01,4467634.0
Alabama,2002-01-01,4480089.0
Alabama,2003-01-01,4503491.0
Alabama,2004-01-01,4530729.0
Alabama,2005-01-01,4569805.0
Alabama,2006-01-01,4628981.0
Alabama,2007-01-01,4672840.0
Alabama,2008-01-01,4718206.0
Alabama,2009-01-01,4757938.0
Alabama,2010-01-01,4785437.0
Alabama,2011-01-01,4799069.0
Alabama,2012-01-01,4815588.0
Alabama,2013-01-01,4830081.0
Alabama,2014-01-01,4841799.0
Alabama,2015-01-01,4852347.0
Alabama,2016-01-01,4863525.0
Alabama,2017-01-01,4874486.0
Alabama,2018-01-01,4887681.0
Alabama,2019-01-01,4903185.0
Alaska,2001-01-01,629516.0
Alaska,2002-01-01,638225.0
Alaska,2003-01-01,644392.0
Alaska,2004-01-01,655227.0
Alaska,2005-01-01,662987.0
Alaska,2006-01-01,671416.0
Alaska,2007-01-01,676402.0
Alaska,2008-01-01,683638.0
Alaska,2009-01-01,695120.0
Alaska,2010-01-01,710691.0
Alaska,2011-01-01,718873.0
Alaska,2012-01-01,727166.0
Alaska,2013-01-01,733777.0
Alaska,2014-01-01,733022.0
Alaska,2015-01-01,734245.0
Alaska,2016-01-01,738196.0
Alaska,2017-01-01,736436.0
Alaska,2018-01-01,731895.0
Alaska,2019-01-01,728279.0
Arizona,2001-01-01,5273477.0
Arizona,2002-01-01,5396255.0
Arizona,2003-01-01,5510364.0
Arizona,2004-01-01,5652404.0
Arizona,2005-01-01,5839077.0
Arizona,2006-01-01,6029141.0
Arizona,2007-01-01,6167681.0
Arizona,2008-01-01,6280362.0
Arizona,2009-01-01,6343154.0
Arizona,2010-01-01,6407172.0
Arizona,2011-01-01,6472643.0
Arizona,2012-01-01,6554978.0
Arizona,2013-01-01,6632764.0
Arizona,2014-01-01,6730413.0
Arizona,2015-01-01,6829676.0
Arizona,2016-01-01,6941072.0
Arizona,2017-01-01,7044008.0
Arizona,2018-01-01,7158024.0
Arizona,2019-01-01,7278717.0
Arkansas,2001-01-01,2691571.0
Arkansas,2002-01-01,2705927.0
Arkansas,2003-01-01,2724816.0
Arkansas,2004-01-01,2749686.0
Arkansas,2005-01-01,2781097.0
Arkansas,2006-01-01,2821761.0
Arkansas,2007-01-01,2848650.0
Arkansas,2008-01-01,2874554.0
Arkansas,2009-01-01,2896843.0
Arkansas,2010-01-01,2921964.0
Arkansas,2011-01-01,2940667.0
Arkansas,2012-01-01,2952164.0
Arkansas,2013-01-01,2959400.0
Arkansas,2014-01-01,2967392.0
Arkansas,2015-01-01,2978048.0
Arkansas,2016-01-01,2989918.0
Arkansas,2017-01-01,3001345.0
Arkansas,2018-01-01,3009733.0
Arkansas,2019-01-01,3017804.0
California,2001-01-01,34479458.0
California,2002-01-01,34871843.0
California,2003-01-01,35253159.0
California,2004-01-01,35574576.0
California,2005-01-01,35827943.0
California,2006-01-01,36021202.0
California,2007-01-01,36250311.0
California,2008-01-01,36604337.0
California,2009-01-01,36961229.0
California,2010-01-01,37319502.0
California,2011-01-01,37638369.0
California,2012-01-01,37948800.0
California,2013-01-01,38260787.0
California,2014-01-01,38596972.0
California,2015-01-01,38918045.0
California,2016-01-01,39167117.0
California,2017-01-01,39358497.0
California,2018-01-01,39461588.0
California,2019-01-01,39512223.0
Colorado,2001-01-01,4425687.0
Colorado,2002-01-01,4490406.0
Colorado,2003-01-01,4528732.0
Colorado,2004-01-01,4575013.0
Colorado,2005-01-01,4631888.0
Colorado,2006-01-01,4720423.0
Colorado,2007-01-01,4803868.0
Colorado,2008-01-01,4889730.0
Colorado,2009-01-01,4972195.0
Colorado,2010-01-01,5047349.0
Colorado,2011-01-01,5121108.0
Colorado,2012-01-01,5192647.0
Colorado,2013-01-01,5269035.0
Colorado,2014-01-01,5350101.0
Colorado,2015-01-01,5450623.0
Colorado,2016-01-01,5539215.0
Colorado,2017-01-01,5611885.0
Colorado,2018-01-01,5691287.0
Colorado,2019-01-01,5758736.0
Connecticut,2001-01-01,3432835.0
Connecticut,2002-01-01,3458749.0
Connecticut,2003-01-01,3484336.0
Connecticut,2004-01-01,3496094.0
Connecticut,2005-01-01,3506956.0
Connecticut,2006-01-01,3517460.0
Connecticut,2007-01-01,3527270.0
Connecticut,2008-01-01,3545579.0
Connecticut,2009-01-01,3561807.0
Connecticut,2010-01-01,3579114.0
Connecticut,2011-01-01,3588283.0
Connecticut,2012-01-01,3594547.0
Connecticut,2013-01-01,3594841.0
Connecticut,2014-01-01,3594524.0
Connecticut,2015-01-01,3587122.0
Connecticut,2016-01-01,3578141.0
Connecticut,2017-01-01,3573297.0
Connecticut,2018-01-01,3571520.0
Connecticut,2019-01-01,3565287.0
Delaware,2001-01-01,795699.0
Delaware,2002-01-01,806169.0
Delaware,2003-01-01,818003.0
Delaware,2004-01-01,830803.0
Delaware,2005-01-01,845150.0
Delaware,2006-01-01,859268.0
Delaware,2007-01-01,871749.0
Delaware,2008-01-01,883874.0
Delaware,2009-01-01,891730.0
Delaware,2010-01-01,899593.0
Delaware,2011-01-01,907381.0
Delaware,2012-01-01,915179.0
Delaware,2013-01-01,923576.0
Delaware,2014-01-01,932487.0
Delaware,2015-01-01,941252.0
Delaware,2016-01-01,948921.0
Delaware,2017-01-01,956823.0
Delaware,2018-01-01,965479.0
Delaware,2019-01-01,973764.0
District of Columbia,2001-01-01,574504.0
District of Columbia,2002-01-01,573158.0
District of Columbia,2003-01-01,568502.0
District of Columbia,2004-01-01,567754.0
District of Columbia,2005-01-01,567136.0
District of Columbia,2006-01-01,570681.0
District of Columbia,2007-01-01,574404.0
District of Columbia,2008-01-01,580236.0
District of Columbia,2009-01-01,592228.0
District of Columbia,2010-01-01,605226.0
District of Columbia,2011-01-01,619800.0
District of Columbia,2012-01-01,634924.0
District of Columbia,2013-01-01,650581.0
District of Columbia,2014-01-01,662328.0
District of Columbia,2015-01-01,675400.0
District of Columbia,2016-01-01,685815.0
District of Columbia,2017-01-01,694906.0
District of Columbia,2018-01-01,701547.0
District of Columbia,2019-01-01,705749.0
Florida,2001-01-01,16356966.0
Florida,2002-01-01,16689370.0
Florida,2003-01-01,17004085.0
Florida,2004-01-01,17415318.0
Florida,2005-01-01,17842038.0
Florida,2006-01-01,18166990.0
Florida,2007-01-01,18367842.0
Florida,2008-01-01,18527305.0
Florida,2009-01-01,18652644.0
Florida,2010-01-01,18845537.0
Florida,2011-01-01,19053237.0
Florida,2012-01-01,19297822.0
Florida,2013-01-01,19545621.0
Florida,2014-01-01,19845911.0
Florida,2015-01-01,20209042.0
Florida,2016-01-01,20613477.0
Florida,2017-01-01,20963613.0
Florida,2018-01-01,21244317.0
Florida,2019-01-01,21477737.0
Georgia,2001-01-01,8377038.0
Georgia,2002-01-01,8508256.0
Georgia,2003-01-01,8622793.0
Georgia,2004-01-01,8769252.0
Georgia,2005-01-01,8925922.0
Georgia,2006-01-01,9155813.0
Georgia,2007-01-01,9349988.0
Georgia,2008-01-01,9504843.0
Georgia,2009-01-01,9620846.0
Georgia,2010-01-01,9711881.0
Georgia,2011-01-01,9802431.0
Georgia,2012-01-01,9901430.0
Georgia,2013-01-01,9972479.0
Georgia,2014-01-01,10067278.0
Georgia,2015-01-01,10178447.0
Georgia,2016-01-01,10301890.0
Georgia,2017-01-01,10410330.0
Georgia,2018-01-01,10511131.0
Georgia,2019-01-01,10617423.0
Hawaii,2001-01-01,1225948.0
Hawaii,2002-01-01,1239613.0
Hawaii,2003-01-01,1251154.0
Hawaii,2004-01-01,1273569.0
Hawaii,2005-01-01,1292729.0
Hawaii,2006-01-01,1309731.0
Hawaii,2007-01-01,1315675.0
Hawaii,2008-01-01,1332213.0
Hawaii,2009-01-01,1346717.0
Hawaii,2010-01-01,1363963.0
Hawaii,2011-01-01,1379329.0
Hawaii,2012-01-01,1394804.0
Hawaii,2013-01-01,1408243.0
Hawaii,2014-01-01,1414538.0
Hawaii,2015-01-01,1422052.0
Hawaii,2016-01-01,1427559.0
Hawaii,2017-01-01,1424393.0
Hawaii,2018-01-01,1420593.0
Hawaii,2019-01-01,1415872.0
Idaho,2001-01-01,1319962.0
Idaho,2002-01-01,1340372.0
Idaho,2003-01-01,1363380.0
Idaho,2004-01-01,1391802.0
Idaho,2005-01-01,1428241.0
Idaho,2006-01-01,1468669.0
Idaho,2007-01-01,1505105.0
Idaho,2008-01-01,1534320.0
Idaho,2009-01-01,1554439.0
Idaho,2010-01-01,1570746.0
Idaho,2011-01-01,1583910.0
Idaho,2012-01-01,1595324.0
Idaho,2013-01-01,1611206.0
Idaho,2014-01-01,1631112.0
Idaho,2015-01-01,1651059.0
Idaho,2016-01-01,1682380.0
Idaho,2017-01-01,1717715.0
Idaho,2018-01-01,1750536.0
Idaho,2019-01-01,1787065.0
Illinois,2001-01-01,12488445.0
